krūz+N+VDekl+Loc+Dsk	krūzēs
krūz+N+VDekl+Dat+Dsk	krūzēm
krūz+N+VDekl+Loc	krūzē
krūz+N+VDekl+Gen+Dsk	krūzu
krūz+N+VDekl+Aku+Dsk	krūzes
krūz+N+VDekl+Nom+Dsk	krūzes
krūz+N+VDekl+Dat	krūzei
krūz+N+VDekl+Gen	krūzes
krūz+N+VDekl+Nom	krūze
krūz+N+VDekl+Aku	krūzi
krīt+N+IDekl+Dat+Dsk	krītiem
krīt+N+IDekl+Nom+Dsk	krīti
krīt+N+IDekl+Loc+Dsk	krītos
krīt+N+IDekl+Aku+Dsk	krītus
krīt+N+IDekl+Gen+Dsk	krītu
krīt+N+IDekl+Aku	krītu
krīt+N+IDekl+Loc	krītā
krīt+N+IDekl+Dat	krītam
krīt+N+IDekl+Gen	krīta
krīt+N+IDekl+Nom	krīts
krēsl+N+IDekl+Dat+Dsk	krēsliem
krēsl+N+IDekl+Nom+Dsk	krēsli
krēsl+N+IDekl+Loc+Dsk	krēslos
krēsl+N+IDekl+Aku+Dsk	krēslus
krēsl+N+IDekl+Gen+Dsk	krēslu
krēsl+N+IDekl+Aku	krēslu
krēsl+N+IDekl+Loc	krēslā
krēsl+N+IDekl+Dat	krēslam
krēsl+N+IDekl+Gen	krēsla
krēsl+N+IDekl+Nom	krēsls
klas+N+VDekl+Loc+Dsk	klasēs
klas+N+VDekl+Dat+Dsk	klasēm
klas+N+VDekl+Loc	klasē
klas+N+VDekl+Gen+Dsk	klasu
klas+N+VDekl+Aku+Dsk	klases
klas+N+VDekl+Nom+Dsk	klases
klas+N+VDekl+Dat	klasei
klas+N+VDekl+Gen	klases
klas+N+VDekl+Nom	klase
klas+N+VDekl+Aku	klasi
kurv+N+IIDekl+Dat	kurvim
kurv+N+IIDekl+Nom	kurvis
kurv+N+IIDekl+Aku	kurvi
kurv+N+IIDekl+Loc	kurvī
kurv+N+IIDekl+Loc+Dsk	kurvjos
kurv+N+IIDekl+Aku+Dsk	kurvjus
